id,text,political,racial/ethnic,religious,gender/sexual,other,text_en
tur_153d607a6d1a1130e696a94db6588075,Çıldırmam an meselesi Ben eskiden dövme yaptırmıştim ölünce hoca dövme olan yeri kesip öyle abdest aldırıyor muş diye soru sordu hocaya Bu Cahillik değil farklı birşey :(,0,0,0,0,0,"It's only a matter of time before I got a tattoo. When I died, the teacher cut the tattoo and asked the teacher if he was getting an ablution like that. It's not ignorance. It's different."
tur_67a124df33f922df9430d8510716173f,2 Yurtlarını işgal ettiği mazlum v e masum Filistinlilere Devlet Terörü uygulamaktan asla çekinmeyen İsrail’in Ku👍,1,1,1,0,0,2 The oppressed and innocent Palestinians who occupied their homes were never afraid to impose State Terror on the Israelis
tur_0b8d62766d1198185bda9f3940e2d121,@USER Bereket Versin. İHA’ dan ateş edildiğinde hedefe varmayan Roket 🚀 utansın. Terörist ve destekçilerinin soyları kurusun.,0,0,0,0,0,"Let the rocket, which did not reach the target when fired from the drone, be ashamed. Let the descendants of its terrorists and its supporters perish."
tur_8dd79022466fdf77e3fa9250da119c7f,@USER @USER Hahaha ne kadar komik. O para için bir asgari ücretli kaç ay çalışıyor biliyor musunuz? Siz paraperest oldunuz. Kaybedenlerdensiniz.,0,0,0,0,0,Do you know how many months he works for that money with a minimum wage? You've become a paraperist. You're a loser.
tur_3b7bb72b32f8cf999aa5df88290bbb6e,@USER @USER En azından senin gibi göt yalayici değil. Fikir beyan ediyor. Vatandaş olarak ülke kaynaklarının nasıl kullanıldığını sorguluyor. Sorgusuz sualsiz biat etmiyor. Beynini kiraya vermemiş sizler gibi.,1,0,0,0,0,"@USER @USER @USER At least he's not an ass-licker like you. He's making an opinion. As a citizen, he's questioning the use of the country's resources. He doesn't swear without question. He didn't rent his brain like you."
tur_58cb4949b5d5469a04fe4ec39733352c,"@USER Başka ülkelerle ilişkileri düzeltmek olması gerekendir ve iyi birşeydir. Adamlar ""İngiltere'ye gidip para dilenelim"" demiyorlar senin putun gibi.",1,0,1,0,0,"@USER It's supposed to be about fixing relations with other countries, and it's a good thing they don't say, ""Let's go to England and beg for money,"" like your idol."
tur_c496b697bbdac80021c151b3daba6a0c,"@USER Selam Aleyküm sayın Cumhurbaşkanım, saygılarımı ve sevgilerimi arz eder ve Ellerinizden öperim. Nasıl oluyor da terörist yandaşları Selahattin Demirtaş ve Doğu Perinçek gibi insanlar Cumhurbaşkanlığına aday olabiliyorlar. Ben bu durumdan çok rahatsız oluyorum.",1,1,0,0,0,"@USER Salam alaykum Mr. President, I offer my respect and love and kiss your hands. How can people like terrorist supporters Selahattin Demirtaş and East Perinçek become candidates for the presidency? I am very uncomfortable with this situation."
tur_2f53221a50e1c55f7d4b8bbffc746331,@USER @USER Akılları uçkurlarından yukarı çıkmaz mı bunların?,1,0,0,1,0,Can't their minds get higher than their cojones?
tur_4f7b5b42e00a4304ab3e597979caf6f9,#DemirtaşSerbestKalmalıAYM hapisten çıkarsa gideceği tek yer musalla taşı olur tüm teröristlerle birlikte geber demirtaş,1,1,0,0,0,"If Ironstones stay free, the only place he'll go is the stone with all the terrorists."
tur_f7568f24071fe9f6dfa065a8e35746e0,@USER Buyurun biz Osmanlı 😊 kahpe Bizans sizi!!,1,1,0,0,0,"@USER We are the Ottomans, you fucking Byzantine!!"
tur_c12e16b8815773cd4cd94df6db48f6b2,Diyorum ki; Ramazan topu yerine seni mi atsak?,0,0,0,0,0,"I mean, should we throw you instead of the Ramadan ball?"
tur_4e7c563fc0f3c012417894ed6431d334,"Fransızların yıkanmayıp, oluşan kötü kokuyu da gizlemek için parfüm kullandıkları, evlerin camlarından sokağa boşaltılan lazımlıklardan korunmak için şapka ve topuklu ayakkabı giydikleri dönemde Türkler hamamlarda yıkanıyordu. .",1,1,0,0,0,"When the French were wearing hats and heels to protect themselves from bedpans, using perfume to cover up the bad smell, the Turks were bathing in baths."
tur_685055dd5f1ca0aa1ba06da636ea2b9c,@USER @USER Kardeş dangalak sözünü korumasına diyor niye içeri girmesine izin vermiyor diye yanındaki korumasına kızıyor misafiri namaz kılmaya gitti ve konuşmayı baştan sona seyret görürsün hatta misafiri yerine oturunca ya kadar konuşmaya bile başlamıyor saygıdan dolayı.,0,0,0,0,0,"@USER @USER says to keep his promise he's angry at his bodyguard because he won't let him in, and he's gone to pray, and you'll watch the conversation from beginning to end, and he won't even start talking until after he sits in his guest's seat."
tur_b770f5f3042c527085d5914461e08c26,@USER Yalancı pezevenk. Sorduğun sorular aldığın cevaplar kadar yalan. 😏😏😏🙄,0,0,0,0,0,@USER Lying son of a bitch. The questions you're asking are as much lies as the answers you get.
tur_6baf39e4395a7d4902da18776dbc3f22,@USER @USER Hala ağlıyorlar ali koç gelince CL yi alıp lige ambargo koyacaklarını sanıyor asalaklar 😂,0,0,0,0,1,"They're still crying. When the coach comes, they think they're going to take CL and put an embargo in the league."
tur_7a6ca3efe506b18ac10dd9ef51b71ef7,@USER %100 katılıyorum Ozan eğer dikkat ederse kendine vazgeçilmez olur? Ama önce kendine bi diyetisyen ve psikolog tutması gerekir,0,0,0,0,0,"== sync, corrected by elderman == @elder_man"
tur_438388fe6cbc5131f319e452a28b0b94,#KadıköydeİşkenceVar..atatürk İstanbul'da bu kadar Rum bırakıp yanlış yapmış sözde devrimci olmuşlar..misal barış Atay Türkiye'de sevdiği için değil sevmediği için yaşıyor:/,1,1,0,0,0,#There's torture in Kadıköy..taturk left so many Greeks in Istanbul and became so-called wrong-doing revolutionaries..Same peace lives not because Atay loves Turkey but because he doesn't like it://
tur_84e07963d48ba1a25e1e80bb078317a7,@USER mini giyen makyaj yapan basi acik gezen kadina orospu diyen ateistler gebersin lgbtler oldurulsun benden olmayan kafir cehennemlik diyen insanlara ozgurluk verelim derseniz bugun jopla doverler yarin kafamizi keserler. ama sizler almanyaya falan kacarsiniz olan bize olur,1,0,1,1,0,"If you want atheists to die calling a woman who wears make-up under @USER, who walks around with her head open, who calls her a whore, let's give freedom to people who say it's a heathen hell that's not mine, they'll cut off our heads tomorrow, but you'll run off to Germany and so on and so forth to us."
tur_a695219afd422be212deb7c120ff728a,Kadıköy’de liseli çocuklara otobüs içinde yapılan işkenceyi izledim bugün.Yüreğim paramparça.90’ların sonu 2000’lerin başında öğrenciliğimde bir çok kere aynısını yaşadım.Yüreğim sızladı.Sadece şunu söylemek istiyorum. İNSANLIK ONURU İŞKENCEYİ YENECEK.,0,0,0,0,0,I watched the torture of high school children on the bus in Kadiköy today. My heart was shattered. The end of the 90s was many times when I was a student in the early 2000s. My heart ached. I just want to say this.
tur_8d9958ea37d304adf4e32fdd5cc7a8a1,"6. 'Hele cemaat bitsin, biz AKP'yi rahat hallederiz' diyen ahmaklar yüzünden ülke içinden çıkılması zor bir sürece girmek üzere. Faşist buraya kadar bu ahmak zihniyetin yüzünden geldi.",1,1,0,0,0,"The 6th is about to enter a difficult process to get out of the country because of the idiots who said, ""Well, let's end the congregation, we'll take care of the AKP."" The Fascist has come all the way here because of your stupid mentality."
tur_7adcca1df59e91c6089059ea1c0de628,"Sabah gazetesinin yabancılar için çıkan versiyonu Daily Sabah ""Mu*** İn**, batı karşıtı"" diye onu batılılara kötülüyor, Türkiye'deki Sabah İnce'ye ""kökü dışarıda, gayri milli"" diyerek kötülüyor. Yandaşlık zor zanaat😂",1,0,0,0,0,"Daily Sabah, the version of the morning newspaper for foreigners, defames him as ""Mu*** In**, anti-Western"" to Westerners, calling Turkey's Sabah İnce ""his root is outside, it's non-national."""
tur_f874b420cf74d30c6c23d66b35a737a8,"şuna 1.603,00 lira verek konuşmasın ya! yada röportaj için gitmek isteyen yerel gazetecileri tehdit edek. yoksa Türkiye'ye daha da rezil olacağız.",0,0,0,0,0,"Don't let him talk to you for $1,603.00, or we'll threaten local journalists who want to go for an interview or we'll be even more humiliated in Turkey."
tur_a4a79768e2d16e627f194300aa5ebfcc,GbtTebligatDursun gbt filan uğraşmadan direk cıkar bedelliyi başvuru secim sonrası. Ama yaş 25 !!!!,0,0,0,0,0,"You don't have to do anything about it, you don't have to do it, you don't have to do it, you don't have to do it, you don't have to do it, you don't have to do it, you don't have to do it, you don't have to do it, you don't have to do it, you don't have to do it, you don't have to do it, you don't have to do it, you don't have to do it, you don't have to do it, you don't have to do it, you don't have to do it."
tur_0af0b04300026fb271304228a6721b98,"@USER @USER ++yurtdışındaki fetöcülerin de baş belasıdır, dünyanın ücra köşelerinde Türklük satan fetö girişimlerini engeller, şu kadının şu vaadi Türk milletine değil, bildiğin direkt amerikan senatosuna yapılmış bir vaattir. S-400 meselesine hiç girmiyorum bile.",1,1,0,0,0,"@USER @USER is a pain in the ass to fetals outside the country, blocking the Turkish-selling fetal initiatives in the remote parts of the world, that woman's promise is not to the Turkish nation, but to the direct American Senate, which you know, I don't even get involved in the S-400 issue."
tur_d20d24730799970606c0514ab0b41a39,Valiz hazırlıyorum babam o parlak şapkayı da mı alıyosun diyo 🤦🏻‍♀️ bi demet akalın bide ben anlamıyorsunuz😒,0,0,0,0,0,"I'm packing a suitcase, and my dad says you're taking that shiny hat, and I don't understand it."
tur_f2551710b0cc1c21ee50bbeadf2c3d18,Bugünkü #Suruç olayıyla iki kuşa birden taş atıldı 1) Kürt seçmenle İnce'nin gönül bağı koparılmak isteniyor. 2) İnce'nin Kürt ve Türk milliyetçisi seçmen arasında kalması isteniyor. İnce'nin yarın yapacağı açıklama çok kritik kendinden zekice ve cesur bir açıklama bekliyorum.,1,1,0,0,0,"== sync, corrected by elderman == @elder_man"
tur_13a289bfb3c3b342aec0277f2533e238,"@USER Bi bitmediler, kara çarşaflısı ayrı bunlar ayrı,bıktık gına geldi, bide çıkmışlar yüzsüzler açıklama yapiyorlar, büyüttü besledi bunları başımıza bela oldular",1,0,1,0,0,"@USER They're not over, they're black sheets, they're different, they're tired, they're out, they've got the nerve to explain, they've raised them, they've given us trouble."
tur_d496245f9e377f7abc316cb5dc0f4635,"Büyük fotoğraf işte bu Çiller, RtE,Fetö Bank Asya açılışında Ortaklık budur işte",0,0,0,0,0,"That's the big picture. That's the Partnership at the opening of Cirller, RTE, Fetö Bank Asia."
