id,text,polarization,text_en
rus_bc6e564a72051b883448985c288bd26f,Геи дохнут от СПИД и без короны,1,Gays will die of AIDS and without a crown.
rus_4f756501904166e4cae78bd6ef29ed47,"Недавно  препод который ведет у нашей группы ""профилактику экстремизма"" сказал  что  цитирую : - Дети  которые совершают суицид пропагандируют экстремизм и тем самым принуждают других детей делать то же самое.",0,"Recently, the professor of our group's ""prevention of extremism"" said that I quote: ""Children who commit suicide promote extremism and thus force other children to do the same."
rus_f8a15647e3f5cb046e136cf35b0328fb,27 день моего карантина Снова мы с @USER Скорее даже я  но при поддержке её оров ПРИДУМАЛИ КАКУЮ-ТО ЕБАНИНУ С НАШЕЙ СЕКТОЙ И СЕКТА ДАЖЕ НЕ В КУРСЕ Девчат. Мы теперь стражницы тапок. Как стражницы Завесы  только тапок. И силы у нас не стихий  а соответствующие.,0,"The 27th day of my quarantine is again with @USER more like me, but with the support of her orna, we've got some kind of Evanina with our own Squad, and we don't have girls in the COURSE, we're now boot guards, we're only boot guards, and we don't have the power to do it."
rus_e19e57012d9877e191cc8c293e319305,"Меня огорчает  что женщины испытывают стыд  когда их называют женщинами в профессии. Это очень неправильно  что к ним относятся менее серьёзно  если они упоминают  что они они женщины  даже между делом. Вот это прикрытие бесполовостью - прикрытие настоящей проблемы ""ветками"".",0,I'm disappointed that women feel shame when they're called women in the profession. It's very wrong to treat them less seriously if they mention that they're women even between cases.
rus_ca2cb97baca3c9046c9cdb58b1f808da,Ну охуеть теперь. Рожать - выбор женщины. Очевидно  что с младенцем особо не потусишь. Это блять не новость! Нахуй это сравнивать с глобальным кризисом и пандемией? Серьезно  некоторые женщины вынимают из себя мозг вместе с ребёнком,1,"Oh, fuck now, giving birth is a woman's choice, obviously you can't hang out with a baby, that's not the fucking news! Fuck it, compare it to a global crisis and a pandemic? Seriously, some women take the brain out with a kid."
rus_b1a9954d0bd01302792d1b4d429ac267,Маски придуманы не для этого Азиаты их таскают зачем то на себе  разводя в них микрофауну. Вирус микроскопический организм  его никакая медмаска не остановит.,0,"The masks aren't designed by Asians to carry them into a microfauna, a microscopic virus that won't stop his medmac."
rus_42c4c17953806f01d7dad808825a91f8,всё как-то просто наложилось одно на другое. понимание  что я не смогу никуда уйти даже после карантина. политика. нервы. гомофобия. лук и чеснок  расставленные на каждом углу квартиры.,1,"It just kind of put one on the other, realizing that I can't go anywhere even after the quarantine, politics, nerves, homophobia, onions and garlic laid out on every corner of the apartment."
rus_74c129b986e1edb4bfc1310527c8ccb1,@USER карантина не будет путен принял ислам,0,@USER Quarantine won't make it easy to accept Islam
rus_7dc2950deddc9f2f83498e8905aa0625,А что? Радужных и коронавирус не берет? Или ради поддержки ЛГБТ и свое здоровье по-хрен? А ведь в ЕКБ уже 20 человек с короной,1,"The rainbows and the coronavirus don't take, or for the sake of LGBT support and their fucking health?"
rus_e97021ceb99f4ca92bde2c9f12facd10,"В Чехии карантин спас женщин от традиционной порки на Пасху Неоднозначная чешская пасхальная традиция  когда мужчины ""игриво"" бьют женщин ивовыми розгами. Им  за это вручают писанки и угощают сливовицей. А как известно  после сливовицы баба писиньке не хозяйка!",1,"In the Czech Republic, quarantine has saved women from the traditional whipping of Easter."
