id,text,polarization,text_en
arb_a2a60c8b4af3389e842d8ec31afb0eea,احلام انتي ونعالي ومنو انتي حتى تقيمين الفنانين الملكه احلام هههههههه البقره احلام بابا عوفي الفن لااهل الفن,1,"Dreams of you, of me, of me, of you, until you give the artist queen dreams, of the cow, of the father, of the art, of the art."
arb_6723e56a672674a6c1d9b28b213c4a05,وره الكواليس تنيجج من وره بعير صطناعي على فكرة احﻻم رجل مو مره لهن تخيل على البنات الحلويات هههههههه,1,"An old man's dream, a man's dream, a fantasy of sweet girls, ahhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh!"
arb_b0365d606edeee38ae6c025b1ca33e96,.خخخخ الملكه احلام فيها شذوذ شنو هل بوس والدلع مع شذا والله عيب اطلعت بويه احلام بس بشعر خخخخخخخ,1,"The queen's peaches are dreams of the gay thing. Is Boss and the horn with the gay thing, and God's fault is that I've seen the boy's dreams, but only with the hair of a peach."
arb_858c0ee684049ba6f416a6cecb0b0761,الله يخزي احلام هي والبرنامج الخايس الي كله مصخره,1,God disgraces the dreams of her and the hopeless program of all his rocks.
arb_bdafc73afd0bc2cd2badae2a089446b9,كس ام احلام الي ماربتها وش ملكه هههه متستاهل ملكه حرام مفسخه جواده بنت كلب الله يدخله نار جهنم وال عياذ بالله,1,"The mother of dreams shall be made unto her, and the queen of Sheah shall enter into the fire of Hell, and the defilement of God."
arb_fe562dd678c078a61c11c372c8837ac4,"أول شي انتي تشبهين شغالتنا في البيت

ثاني شي انتي ملكة جمال الإزباله

3 جميع الاسعودين أحلى منك انتي",1,"First of all, you look like we're running home. Second of all, you're Miss Rubble Three. All the swaggers are sweeter than you."
arb_4aea16b5fdc2a8918b11a8989fedab88,احلام انا اجر على اهلك يبنت الزنا اللعن ابووكي,1,"Dreams. I'm running on your parents, you fucking bastard."
arb_d34c223137fabce924f8c49528cee68e,و الله كلهم عالم زبالة و احنا للاسف بنشجعهم عالم وسخة,1,"And Allah is a world of garbage, and we are sadly encouraged by a world of dirt."
arb_fba612f3054c4e23ea1aac1436c74918,خيرالكلام ما قل و دل %  جيب ( طز )   و شوية ( مرحبا )   اخلطهم في المولينكس تطلع ( احلام ),1,"I'd rather talk than say, ""Hi, Tiz's pocket"" and ""Hi,"" mix them up in the Molinox looking for ""Dreams."""
arb_e9ae0d72cfacd92bbcac687513c03329,احلام .. شخصيه منحطه منحطه منحطه لأبعد الحدود .. و كلمة شرموطه قليله عليكي,1,"Dreams... low-life, low-down, extremely low-level character... and a little sloppy on you."
arb_141d0c82c15f5dc8c5ee8ee7cf62b841,والله ان شمس احلى منك ي اطقاقه ع اقل شمس احساس وجمال انتي لا احساس ولا جمال هيا اخررجي ي طقاقه 😂😂,1,"And God, the sun is sweeter than you, the sun is less sensitive and beautiful, and you are no sense, no beauty, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on, come on."
arb_7d8b38472c2af4613006837087cee6dc,الوسط الفني وسط حثالة الا من تاب وتاب الله عليه نسأل الله لنا ولهم الهداية,1,"The technical center amongst the scum, except for those who repent, and God repents upon him, we ask God for us, and for them for guidance."
arb_827b549a851173553d012550e1b74a66,والله يا احلام تبقين بعيني زباله مشتمع يا فاشله,1,"And God, dreams, you keep with my eyes a sunny junk, you loser."
arb_5f10139fcb415f6609d98292b34282d9,بالله هاي فنانة مكانها بالزبل أصلا كل ثقافة فنية ما عندها لأ وفوكاه تقول اني ملكة انتي ملكة على الزبل يا زبالة,1,"For God's sake, she's an artist... in her place in the first place... of every artistic culture she has... or, in her mouth, she says I'm a queen... you're a queen on the rubbish, you piece of shit."
arb_062ab901f3207286049921c2ff42443e,ابي اعرف من يضاجع الثاني احلام ولا مبارك جد اسال,1,"Dad, I know who's fucking the other one. Dreams and no blessings."
arb_beaf87ba9c49db15aa4e6f5fbece9cbf,ولك انت ساقط وحجيك تمظرط طط طط ط الك قد رك,1,"But you're a bastard, and your riddle's a rattler."
arb_fd55299e1648521f224387338b5e768b,أحلام أكلي عير ياوصخه ختفؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤؤ عيربيج وبل أسلام أل أنتي بي دكومي عريضه حافضه ألقرأن وتقره ألقرأن وتغني ألعريضه بلعت ألعير صخله,1,"The dreams of my eating are naked, soaking him up, and he's a mutterer... and he's a cheerleader... and he's a cheerleader... and he's a cheerleader... and he's a cheerleader... and he's a cheerleader... and he's a cheerleader... and he's a cheerleader... and he's a cheerleader... and he's a cheerleader.... and he's a cheerleader...."
arb_4f813c25c976a6646c029c46f7dc8c32,احلام الكره العاهرة المطار دارسة شريعة  طاح حظك يا احىلام,1,"Fucking ball dreams. The airport is a law study. Lucky you, dreams."
arb_558e912c8c03a59360c098a36b077f9c,مريضة نفسية مفتكرة حالها بشرية و شكلها غربي😂😂😂😂و تلبس تياب قد بنت بنتها 😂😂😂😂,1,"She's a concocted psychopath who's a human being, and she's a western form, and she's wearing a thigh that's built her daughter."
arb_b90e6a706d9d3cbfd7d05e2864fdecf9,شمس احسن منج يزربه مو متربيه انتي اعتقد ماتعرفين شنو التربيه,1,Better sun than a meadow than a meadow. You think what you know about breeding?
arb_1f4dfc221c8b5f96f34b74177891fefc,كس ام احلام على ام السوري لمعفن الي بتفلسف,1,"Dreams on the mother of the Syrian, rotting to me, broke."
arb_70ddbe2b8a60b1c323e8ff5e7d182f1d,شواز يعني حذاء فالحذاء على راسج وراس زوجك الخنيث,1,Shoes mean shoes. Shoes are on the rocks and your husband's wretched head.
arb_ed565d264c73d9ffbe5d8d9d56d1017e,امداج ومدة زوجاك الخنيذ الكواد الساقط ياخيسة ام العيوارة  ام كس الخيس,1,"Width and the length of your husband's cheeky, lowly prick, or the sack of the pussy."
arb_d295b7957ef42baadec1fe10bdbf97ad,هوانتي مطية وبهيمة وكالبة ونانية وتحب بس نفسة  تحب القران  هوانتي كاولية وغجرية امداج ومدة اهلج السقطين ياحيوانة ابن العراق وبس,1,"You're flattered, you're mean, and you're selfish, and you love your soul, but you love the Quran, you know, you know, you know, you know, you know, you know?"
arb_49c1a6427b11b835fc9a75c662b31c54,كيف متخرجه من علوم شرعيه وتقول رقاصه وتسب لعن الله ابو من شهرها هاذي عار على الخليج بنت الكلب,1,"How did he graduate from forensic science and say, ""His dance is the curse of God, the father of her fame."""
arb_d78eeb68c5a221588dacf41ec455f93f,هذه  احلام مثل البقره اصلا هاذه تغتصب النساء باصبعها,1,These are dreams like a cow... that even rapes women with their fingers.
arb_16ed6044dda16366832c9321278fb80f,"مين عم يقول الdislikeأكتر؟؟؟ههههه
ياحبيبي طلعت شاذة كمان هاد الناقص
يلعن شكلك بومة مسخرة بس يلعن أبو المصاري
تضربي بس شوفك بستفرغ",1,"What does the dislike more say? Huh? Honey, you're a freak, you're a freak, you're a fucking owl, you're a fucking owl, you're a fucking masari, you're gonna puke."
arb_5d821e13075f9b1da3b64520cc9bfe62,شوف نانسي شلون ناسكة وناشفة وشوف هاي الهايشة ماتعرف حته تحجي ياخي صدك قهر انتي مراة وهاية مراة,1,"Nancy saw a ragged shilling, a towel, and a hay-hay-hay-hay-hay-hay-hay-hay-hay-hay-hay-hay-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha!"
arb_b7e6c5f7513c805e2f27cd9400a350fa,هو لازم هل زبالة تنلم لكن قالة كلمة صحيخة ليش ما ينقبض على هيفاء وهبي وغيرها ؟،؟؟؟؟؟؟ولا لانهم ماسونياات,1,"Is it a junk that gets pissed off, but it's a word that doesn't catch a heave, a hippie, and so on?"
arb_5d6e8b4f9712b2ef17b75c0a440a65aa,المره عارفه افلام  الثقافة .احييييييي ...وجايه  تعدل  علي برديس هههههههه,1,"The time I know the movies of culture, live and live, and readjust to Brdès..."
arb_d69d22d69078d7e2f6b1cb18d729a921,برديس عاهرة و ربنا يخلصن من امثلك ولو ابوكي رجل كان زمانو  دفن العاهرة,1,"Brides is a whore, and our Lord is rid of your ideals, and if your father were a man, it was time to bury the whore."
arb_0856a9100f8f6c99d6a18467c4baafa7,يعني ع اساس سعاد حسني الشرموطه والشراميط الي معاها كانو يبيعون مسابح بالحرم يعمي على زق وبرديس تاج راسكم,1,"It means the foundation of Saad Hassani's chocolate, and the razors along with her, they've been selling ponds on campus, blinding on the girdle and the berdes of the crown of your head."
arb_8cbf493d0bd8925aeb53e48f093ae3c8,والله انا مش شايف غير ان برديس ده شرموطه ومبسوطه بقلة ادبها ومبسوطه بالنيك ده كنوع من الشهره وعايزه تزيط,1,"And God, I'm not a snitch, except that Berdis has a shirt, and he's flattened with a lack of manners, and he's strapped with Nick, which is like some kind of fame, and he's gonna give it up, and he's gonna give it up."
arb_d000ff8140a97c71c263aeb88399b815,احه كسمك يعني سعاد حسني كانت شيخه سعاد اعملت اوسخ من برديس مليون مره ....الفنانات كلهم عهر,1,"Like a fish, it means, ""Hassani's happy, she's an old lady."
arb_72f53c56af8a8b4c230d00ed886ff636,ايه الاجالك من كول واحد يهزقك يابنت ستين كلب ملقتيش راجل يلمك,1,"Hey, you guys, one Cole's gonna rip you off, girl."
arb_88ad0a1315f9e5ce3f03ed40a57656bb,يللا ياملفاية يابنت المتناكة يا لبوة انتي تستاهلى اكتر من كدة بكتير,1,"Oh, come on, Bunny Girl. You're better off than that."
arb_d1bc942838434f50b7b7a020b4ac44a9,الكلب طوني خليفة علق عليها وناسي يعلق على ميريام وفيفي عبده,1,"The dog Tony Khalifa was stuck on her, and my people were stuck on Miriam and Fifi his slave."
arb_0e8bdf2b83e05ac68c282e12b11146d4,أي وحدة بتطلع تتعرى وترقص وتعمل كليبات إباحية إسجنوها وخلصونا منها.....بس للأسف الناس بتحب الاشكال الوسخة زي دي,1,"Any unit that looks forward and dances and does porn books, lock it up and get us out of it... unfortunately people like dirty shapes, ZD."
arb_1545dde491b1c88b370748384ffc9c47,"مش عارف بتهاجمو برديس ليه 
ما البلد مليانه اوسسسخ منها  
سعاد حسني نفسها افلامها كلها بوس وخلع وعري",1,I don't know if you're gonna attack Brides. What's the country so full of it?
arb_f350401c6c8c5d0da35d3f1a72a59fd5,"على اساس سعاد حسني كانت تدرس قرأن 
كل افلامها وسخه",1,"On the basis of Hassani's happiness, she was studying the reading of all her films."
arb_f088dd74981906ca096f14fd138c1467,الخضردولار ي هو الذي جعل من كبوس احلام ومن النهيق الحمير نتاع هذ الحمارة الي فن,1,"It's the green dollar that made the dream pin, and the red-dreaming piece of this donkey into the art."
arb_178901219a976585e40e44e8716a0089,الله يلعنك يا وسخة . انتي ملكة جمال الأبقار,1,"God damn you, dirtbag. You're the beauty of cows."
arb_dbe36b5a1a58bbce71a563581d2ecb6a,بدك تاكلي خنزير موش كنطاكي يا افعى ياحلوف  وجه القرد,1,"You look like you're eating a boar like a snake, monkey-faced ally."
arb_eb90a7c57f43dedbc702253c57809224,وش ملكه سلامااات تروها طقاقه ملعونه ابو ولا الوجه عقدها مع شركه انشأت علشان عمليه التجميل ياطقااااااقه,1,"What the queen of Salamat sees as a cursed bowl, not a face, her contract with a company created for the beauty work of his collars."
arb_f007521f9949a427e2b2bffa42a9e3d3,انتي اصلان  شرموطه يا  احلام  ومشان هيك ما تعرفين الشرفاء,1,"Dreams and dreams, you pray. Hey, you know the honorable."
arb_c4ff4d2f2327bf5e20a6c8324905fadc,الله يشفيها محدثة نعمه…وهذا سبب انها متخبطه بكل شي اخلاقها صفر ومتناقضه اقول الله يرحم ايام الطاره مع امك وخالاتك تطلعوا العروس وتاكلوا فضلة المعازيم,1,"God heals her with a blessing... which is why she's messed up with everything... her manners are zero and contradictory... and I say, ""God have mercy on the days of the journey with your mother and aunts..."""
arb_2a61d7ae117442aaa726042e431bd2ff,"ليش  بصلتكم محرووقه؟؟!!  KISS  اخت الاعلام ,  و كس  اخت احلام  معها  مصاري   وبتذل  الاعلام..",1,"Why isn't your onion burned?!! KISS Media Sister, pussy dream sister with my wits and bullshit media..."
arb_78e1ec998d32c33ebf3dc8d5b098d467,رجال الخليج يحبون اللواط والان نساء الخليج احلام she lesbian عالم عالم العاهرين والعاهرات,1,"The Gulf men love sodomy, and now the Gulf women dreams she lesbian the world of whores and whores."
arb_721a7a1533c60c234314015a914efbbf,يلعن ابوكي المفروض محدش يديها أي انتباه لأن كده بتحسسوها ان هي بني آدمة,1,"Your father's supposed to take care of her, 'cause that's how you feel about her being a human being."
arb_800ea76c8416441d67f273971e7343cf,استغفر الله اعتقد ان احلام صناعة صينية وليست مخلوق لان الله عز وجل لم يخلق هذه الكائن الذي اسمه احلام,1,"Forgive God, I believe that the dreams of a Chinese industry, and not a creature, because God, dear, did not create this creature called Dreams."
arb_30c21d1211ccb4b57f737f2a094cf026,انا برشح لهم الفنان عبدالله رويشد بدل هاي البقره,1,I'm nominating the artist Abdullah Rottishd instead of the cow.
arb_21077e85444f33ef3de08ac9e70db4e7,احلام خرا لعنة الله علی وجهها اللي مثل وجه القرد,1,"Fucking dreams of God's curse on her face, like a monkey's face."
arb_8565001f884dfa1d9c8339a72dccf9cc,الله يلعنك يا احلام الطكاكه .. ولك تتكلمين على صوت ذكرى ؟؟؟ والله الحمار والخنزير احسن منك يا احلام الخايسه,1,"God damn you, cookie dreams, and you speak in the sound of memory, and God is better than you are than you are, you lousy dreams."
arb_4d4160dc5ba9313d7d5d6e931e3907b4,أول شغل عالم الفن بكل أنواعه وسخ ومنحط وقذر وتاني شي الأعلام أوسخ من عالم الفن وأحقر منه ولذلك الأثنان يساندون بعضهم,1,"The first work of the world of art of all kinds is dirty, degenerate, filthy, and the second thing the flags are dirtier than the world of art, and the two of them support each other."
arb_8443a36731c8fea1bda7910eab5d3d22,القافلة تسير والكلاب تنبح سير واللة معاك يا أحلام تحيه لكم من اليمن فنانه وغصبن عنكم,1,"The caravan is walking, and the dogs are barking... and the night is with you, dreams... greeted you from Yemen... by his artist, and they are cast away from you."
arb_6e77cabef080014acb3ba495e27bbd9d,استغر الله لو تشوف وجهها وهي تدلع كذا مارح تسوي الحركات هذي الله يلعن هذي العجوز تدلع على كبر ارجوكم كفايه ياقنواتنا,1,"God begs her face to be seen drooling like this. God damn this old man, please! Enough, our channels!"
arb_f68fbce888b8acad862c957e82329682,"اللبنانيين شراميط الفن العريق 
قبل ماتقول شي ياخنزير يالمستعمر من فرنسا شوف نفسك بالاول 
الخليجيين ديسلايك للفيديو",1,"Before you say something, a colonial boar from France, show yourself to the Gulf Desalicks for the video."
arb_1b12fbf4d67196b5f0d10aedae91af43,لك كس اخت يلي قال عنك مطربة.....تفووو عليك وسخة...,1,"You pussy, next sister says you're a singer... and you're dirty."
